Metric,Value
Accuracy_CI_lower_bound,0.5581395348837209
Accuracy,0.6976744186046512
Accuracy_CI_upper_bound,0.8372093023255814
AUC-ROC_CI_lower_bound,0.3251011344976862
AUC-ROC,0.5369318181818181
AUC-ROC_CI_upper_bound,0.7366935483870967
VPP_TN_CI_lower_bound,0.0
VPP_TN,0.3333333333333333
VPP_TN_CI_upper_bound,0.75
Sensibilidad_TN_CI_lower_bound,0.0
Sensibilidad_TN,0.18181818181818182
Sensibilidad_TN_CI_upper_bound,0.43767361111111097
Especificidad_BN_CI_lower_bound,0.75
Especificidad_BN,0.875
Especificidad_BN_CI_upper_bound,0.9706092436974789
F1_TN_CI_lower_bound,0.0
F1_TN,0.23529411764705882
F1_TN_CI_upper_bound,0.5
