ID,split,label
D2-0654,train,1
D1-1006,train,0
D1-0833,train,0
D1-0716,train,0
D2-0492,train,1
D1-0755,train,0
D1-0785,train,0
D1-0242,train,0
D1-0739,train,0
D2-0480,train,1
D1-0213,train,0
D1-0763,train,0
D1-0260,train,0
D2-0375,train,1
D1-0750,train,0
D2-0184,train,1
D1-0294,train,0
D1-0816,train,0
D2-0013,train,1
D1-0986,train,0
D1-0725,train,0
D2-0432,train,1
D1-0014,train,0
D2-0586,train,1
D2-0250,train,1
D1-0002,train,0
D1-0920,train,0
D1-0843,train,0
D2-0622,train,1
D2-0264,train,1
D1-0696,train,0
D1-0722,train,0
D1-0842,train,0
D1-0767,train,0
D1-0003,train,0
D1-0984,train,0
D1-0976,train,0
D1-0829,train,0
D1-0281,train,0
D1-0250,train,0
D1-1034,train,0
D1-0900,train,0
D1-0024,train,0
D2-0047,train,1
D2-0652,train,1
D1-0855,train,0
D1-0778,train,0
D1-0891,train,0
D1-0744,train,0
D1-0735,train,0
D1-0910,train,0
D1-0255,train,0
D1-1038,train,0
D1-0027,train,0
D1-0972,train,0
D2-0265,train,0
D1-0203,train,0
D2-0376,train,1
D1-0791,train,0
D1-0031,train,0
D1-0837,train,0
D1-0981,train,0
D1-0007,train,0
D2-0465,train,1
D2-0696,train,1
D1-0011,train,0
D1-0988,train,0
D2-0347,train,1
D1-0295,train,0
D2-0493,train,1
D1-0776,train,0
D1-0737,train,0
D2-0570,train,1
D1-0906,train,0
D1-1035,train,0
D2-0097,train,1
D1-0245,train,0
D1-0802,train,0
D1-0731,train,0
D1-0017,train,0
D1-0916,train,0
D2-0446,train,1
D1-1220,train,0
D1-0844,train,0
D2-0592,train,1
D1-0256,train,0
D1-0832,train,0
D2-0148,train,1
D1-0997,train,0
D1-0043,train,0
D2-0218,train,1
D1-0904,train,0
D2-0646,train,1
D1-0277,train,0
D1-0243,train,0
D1-0780,train,0
D1-1673,train,0
D2-0525,train,1
D1-0800,train,0
D1-0012,train,0
D2-0216,train,1
D2-0234,train,1
D1-0005,train,0
D2-0647,train,1
D1-0797,train,0
D2-0023,train,1
D1-0714,train,0
D1-1020,train,0
D1-0788,train,0
D2-0579,train,1
D2-0643,train,1
D2-0372,train,1
D1-0029,train,0
D1-0013,train,0
D1-0905,train,0
D1-0729,train,0
D1-0267,train,0
D1-0033,train,0
D1-0730,train,0
D1-0809,train,0
D2-0460,train,1
D1-0300,train,0
D1-0273,train,0
D1-0004,val,0
D1-0691,val,0
D1-0286,val,0
D1-0914,val,0
D1-0293,val,0
D1-0695,val,0
D1-1000,val,0
D1-0299,val,0
D1-0684,val,0
D2-0724,val,1
D2-0164,val,1
D2-0571,val,1
D1-0292,val,0
D1-0010,val,0
D1-1004,val,0
D2-0531,val,1
D2-0259,val,0
D1-0945,val,0
D1-0022,val,0
D2-0625,val,1
D1-0254,val,0
D1-0919,val,0
D1-0291,val,0
D1-0930,val,0
D1-0261,val,0
D1-0721,val,0
D1-0938,val,0
D2-0435,val,1
D1-0994,val,0
D2-0712,val,1
D2-0448,val,1
D1-0925,val,0
D2-0602,val,1
D1-0851,val,0
D1-1015,val,0
D2-0424,val,1
D2-0359,val,1
D1-0968,val,0
D1-0801,val,0
D1-1029,val,0
D1-0889,val,0
D1-0712,test,0
D1-0823,test,0
D1-0747,test,0
D2-0415,test,1
D1-0038,test,0
D1-0868,test,0
D1-0818,test,0
D2-0581,test,1
D1-0804,test,0
D2-0356,test,1
D2-0477,test,1
D2-0344,test,1
D1-0963,test,0
D1-0023,test,0
D1-1048,test,0
D1-0877,test,0
D2-0549,test,1
D1-0807,test,0
D1-0697,test,0
D1-0992,test,0
D1-0899,test,0
D1-0758,test,0
D2-0587,test,1
D1-0021,test,0
D1-0001,test,0
D1-0950,test,0
D1-0845,test,0
D1-0991,test,0
D2-0387,test,1
D1-0682,test,0
D1-1030,test,0
D2-0214,test,1
D1-0974,test,0
D1-0821,test,0
D1-0923,test,0
D2-0455,test,1
D1-0902,test,0
D1-0290,test,0
D2-0701,test,0
D1-0035,test,0
D2-0497,test,1
